Step,Train Loss,Train Accuracy,Step Time (s)
216,0.8606825561180362,0.905,157.32971811294556
217,0.8589349019707594,0.908,157.40356707572937
218,0.8571927978338967,0.91,157.20591592788696
219,0.8554558895620032,0.912,157.27479720115662
220,0.8537238366321873,0.918,157.64139223098755
221,0.8519963125691681,0.919,157.42284226417542
222,0.8502730053278189,0.919,157.4025480747223
223,0.8485536176352955,0.921,157.4989891052246
224,0.8468378672941939,0.922,157.40615487098694
225,0.8451254874492728,0.927,157.1310441493988
226,0.8434162268175776,0.927,157.39667391777039
227,0.8417098498844475,0.927,157.46067118644714
228,0.8400061370649616,0.929,155.00751900672913
229,0.8383048848322954,0.931,154.38663387298584
230,0.8366059058129315,0.932,154.3586287498474
231,0.8349090288483548,0.935,154.23326063156128
232,0.8332140990243762,0.937,154.94407987594604
233,0.8315209776663117,0.941,154.48813605308533
234,0.8298295423009658,0.943,154.2906789779663
235,0.8281396865840205,0.947,154.6754822731018
236,0.8264513201931156,0.949,154.17826294898987
237,0.8247643686850369,0.95,154.12199091911316
238,0.8230787733176926,0.953,154.20122599601746
239,0.8213944908346568,0.953,156.17180633544922
240,0.8197114932143416,0.955,159.41860580444336
241,0.8180297673805517,0.961,159.33036732673645
242,0.8163493148761087,0.961,159.45109510421753
243,0.814670151499331,0.964,158.96305990219116
244,0.8129923069025963,0.964,158.8300838470459
245,0.8113158241543045,0.964,159.04829001426697
246,0.809640759263995,0.963,159.7931728363037
247,0.807967180672394,0.964,159.854022026062
248,0.8062951687068332,0.964,159.88489508628845
249,0.8046248150036339,0.964,159.7552969455719
250,0.8029562218988722,0.965,157.38351011276245
251,0.8012895017903647,0.966,156.32163190841675
252,0.7996247764715021,0.966,155.81389808654785
253,0.797962176441425,0.966,156.01962900161743
254,0.7963018401924558,0.967,155.48855710029602
255,0.794643913478639,0.968,155.70621705055237
256,0.7929885485689596,0.969,155.51758098602295
257,0.7913359034870437,0.97,155.40401887893677
258,0.7896861412425787,0.971,155.6529257297516
259,0.7880394290568614,0.971,155.361567735672
260,0.7863959375867493,0.971,155.46310114860535
261,0.7847558401502818,0.973,158.47699785232544
262,0.7831193119579619,0.974,161.75146794319153
263,0.7814865293531346,0.974,161.5289831161499
264,0.7798576690653796,0.974,162.13479590415955
265,0.7782329074802551,0.977,161.8434500694275
266,0.7766124199284001,0.978,162.242084980011
267,0.7749963799978693,0.978,162.72035884857178
268,0.7733849588721479,0.979,162.52867007255554
269,0.771778324696759,0.98,161.9672350883484
270,0.7701766419771536,0.981,161.79952788352966
271,0.7685800710099102,0.982,161.63038396835327
272,0.7669887673492396,0.984,158.97122716903687
273,0.765402881310917,0.985,156.0244641304016
274,0.763822557514219,0.985,156.21236085891724
275,0.7622479344640779,0.987,156.07274889945984
276,0.760679144173174,0.988,156.0950472354889
277,0.7591163118250386,0.988,155.83099794387817
278,0.7575595554787141,0.988,157.1405611038208
279,0.7560089858143269,0.988,157.3101601600647
280,0.7544647059192865,0.989,157.5375509262085
281,0.7529268111150957,0.989,157.27192997932434
282,0.751395388823721,0.989,156.8373429775238
283,0.7498705184720269,0.989,157.079167842865
284,0.7483522714339479,0.989,155.3736822605133
285,0.7468407110082288,0.99,155.6028230190277
286,0.7453358924307653,0.99,155.31814002990723
287,0.743837862919416,0.99,156.18553495407104
288,0.7423466617496822,0.99,155.69061303138733
289,0.7408623203596825,0.99,155.81577801704407
290,0.739384862481423,0.99,155.85138416290283
291,0.7379143042976379,0.99,155.7087869644165
292,0.7364506546212186,0.99,155.5725781917572
293,0.7349939150952094,0.991,155.42246103286743
294,0.733544080411821,0.991,156.3953709602356
295,0.7321011385476678,0.991,155.93513107299805
296,0.7306650710134501,0.991,155.2345471382141
297,0.7292358531161287,0.991,155.6660430431366
298,0.7278134542316586,0.991,155.4069619178772
299,0.7263978380858472,0.991,155.2161180973053
300,0.7249889630420687,0.991,155.47330784797668
